simulated_k38_l100_10,simulated_k38_l100_13,simulated_k38_l100_14,simulated_k38_l100_26,simulated_k38_l100_28,simulated_k38_l100_30,simulated_k38_l100_32,simulated_k38_l100_34,simulated_k38_l100_36,simulated_k38_l100_37,simulated_k38_l100_38,simulated_k38_l100_43,simulated_k38_l100_44,simulated_k38_l100_45,simulated_k38_l100_46,simulated_k38_l100_48,simulated_k38_l100_49,simulated_k38_l100_50,simulated_k38_l100_51,simulated_k38_l100_52,simulated_k38_l100_56,simulated_k38_l100_58,simulated_k38_l100_59,simulated_k38_l100_60,simulated_k38_l100_61,simulated_k38_l100_62,simulated_k38_l100_63,simulated_k38_l100_64,simulated_k38_l100_65,simulated_k38_l100_66,simulated_k38_l100_67,simulated_k38_l100_68,simulated_k38_l100_69,simulated_k38_l100_70,simulated_k38_l100_71,simulated_k38_l100_72,simulated_k38_l100_73,simulated_k38_l100_74,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,MST_16,MST_17,MST_18,MST_19,MST_20,MST_21,MST_22,MST_23,MST_24,MST_25,MST_26,MST_27,MST_28,MST_29,MST_30,MST_31,MST_32,MST_33,MST_34,MST_35,MST_36,MST_37,MST_38,MST_39,MST_40,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12,SEQ_13,SEQ_14,SEQ_15,SEQ_16,SEQ_17,SEQ_18,SEQ_19,SEQ_20,SEQ_21,SEQ_22,SEQ_23,SEQ_24,SEQ_25,SEQ_26,SEQ_27,SEQ_28,SEQ_29,SEQ_30,SEQ_31,SEQ_32,SEQ_33,SEQ_34,SEQ_35,SEQ_36,SEQ_37
,,,,,,,,,,,,,,0.0,16.0,20.0,20.0,11.0,12.0,8.0,11.0,11.0,11.0,9.0,8.0,8.0,8.0,11.0,11.0,10.0,9.0,12.0,12.0,7.0,7.0,17.0,16.0,11.0,35.0,12.0,15.0,15.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0,19.0,12.0,16.0,15.0,12.0,10.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
,,,,,,,,,,,,,,,0.0,8.0,8.0,7.0,8.0,12.0,5.0,5.0,5.0,11.0,10.0,12.0,12.0,7.0,7.0,12.0,11.0,8.0,8.0,13.0,13.0,1.0,0.0,9.0,36.0,15.0,9.0,11.0,7.0,6.0,7.0,7.0,10.0,10.0,11.0,12.0,12.0,11.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,19.0,17.0,23.0,17.0,10.0,11.0,7.0,7.0,7.0,7.0,10.0,10.0,11.0,12.0,12.0,11.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,,,,,,,,,,,,,,,0.0,0.0,11.0,12.0,16.0,9.0,9.0,9.0,15.0,14.0,16.0,16.0,11.0,11.0,16.0,15.0,12.0,12.0,17.0,17.0,9.0,8.0,10.0,36.0,11.0,7.0,6.0,9.0,11.0,10.0,12.0,13.0,13.0,15.0,16.0,16.0,15.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17.0,16.0,19.0,13.0,7.0,6.0,10.0,10.0,10.0,12.0,13.0,13.0,15.0,16.0,16.0,15.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
,,,,,,,,,,,,,,,,,0.0,11.0,12.0,16.0,9.0,9.0,9.0,15.0,14.0,16.0,16.0,11.0,11.0,16.0,15.0,12.0,12.0,17.0,17.0,9.0,8.0,10.0,36.0,11.0,7.0,6.0,9.0,11.0,10.0,12.0,13.0,13.0,15.0,16.0,16.0,15.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17.0,16.0,19.0,13.0,7.0,6.0,10.0,10.0,10.0,12.0,13.0,13.0,15.0,16.0,16.0,15.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
,,,,,,,,,,,,,,,,,,0.0,1.0,7.0,2.0,2.0,2.0,6.0,5.0,7.0,7.0,0.0,0.0,7.0,6.0,1.0,1.0,8.0,8.0,8.0,7.0,6.0,38.0,19.0,13.0,13.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,18.0,27.0,21.0,14.0,13.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,0.0,8.0,3.0,3.0,3.0,7.0,6.0,8.0,8.0,1.0,1.0,8.0,7.0,2.0,2.0,9.0,9.0,9.0,8.0,7.0,38.0,19.0,14.0,14.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,19.0,26.0,21.0,15.0,14.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,0.0,7.0,7.0,7.0,3.0,4.0,0.0,0.0,7.0,7.0,4.0,5.0,8.0,8.0,1.0,1.0,13.0,12.0,7.0,36.0,16.0,10.0,11.0,6.0,6.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,17.0,17.0,23.0,17.0,12.0,11.0,7.0,5.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,5.0,7.0,7.0,2.0,2.0,7.0,6.0,3.0,3.0,8.0,8.0,6.0,5.0,6.0,38.0,19.0,13.0,13.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,18.0,27.0,21.0,14.0,13.0,10.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,5.0,7.0,7.0,2.0,2.0,7.0,6.0,3.0,3.0,8.0,8.0,6.0,5.0,6.0,38.0,19.0,13.0,13.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,18.0,27.0,21.0,14.0,13.0,10.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,5.0,7.0,7.0,2.0,2.0,7.0,6.0,3.0,3.0,8.0,8.0,6.0,5.0,6.0,38.0,19.0,13.0,13.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,18.0,27.0,21.0,14.0,13.0,10.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,3.0,6.0,6.0,3.0,4.0,7.0,7.0,4.0,4.0,12.0,11.0,8.0,36.0,16.0,10.0,12.0,8.0,8.0,7.0,7.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,17.0,17.0,24.0,18.0,11.0,12.0,9.0,7.0,7.0,7.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,4.0,5.0,5.0,4.0,3.0,6.0,6.0,5.0,5.0,11.0,10.0,7.0,36.0,16.0,10.0,12.0,8.0,8.0,7.0,7.0,6.0,6.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18.0,16.0,24.0,18.0,11.0,12.0,9.0,7.0,7.0,7.0,6.0,6.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,7.0,4.0,5.0,8.0,8.0,1.0,1.0,13.0,12.0,7.0,36.0,16.0,10.0,11.0,6.0,6.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,17.0,17.0,23.0,17.0,12.0,11.0,7.0,5.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,7.0,4.0,5.0,8.0,8.0,1.0,1.0,13.0,12.0,7.0,36.0,16.0,10.0,11.0,6.0,6.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,17.0,17.0,23.0,17.0,12.0,11.0,7.0,5.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
