simulated_k53_l25_18,simulated_k53_l25_22,simulated_k53_l25_24,simulated_k53_l25_30,simulated_k53_l25_36,simulated_k53_l25_37,simulated_k53_l25_38,simulated_k53_l25_40,simulated_k53_l25_45,simulated_k53_l25_46,simulated_k53_l25_47,simulated_k53_l25_48,simulated_k53_l25_50,simulated_k53_l25_52,simulated_k53_l25_53,simulated_k53_l25_54,simulated_k53_l25_56,simulated_k53_l25_57,simulated_k53_l25_58,simulated_k53_l25_62,simulated_k53_l25_64,simulated_k53_l25_66,simulated_k53_l25_68,simulated_k53_l25_72,simulated_k53_l25_73,simulated_k53_l25_74,simulated_k53_l25_75,simulated_k53_l25_76,simulated_k53_l25_77,simulated_k53_l25_78,simulated_k53_l25_80,simulated_k53_l25_82,simulated_k53_l25_84,simulated_k53_l25_85,simulated_k53_l25_86,simulated_k53_l25_87,simulated_k53_l25_88,simulated_k53_l25_89,simulated_k53_l25_90,simulated_k53_l25_91,simulated_k53_l25_92,simulated_k53_l25_93,simulated_k53_l25_94,simulated_k53_l25_95,simulated_k53_l25_96,simulated_k53_l25_97,simulated_k53_l25_98,simulated_k53_l25_99,simulated_k53_l25_100,simulated_k53_l25_101,simulated_k53_l25_102,simulated_k53_l25_103,simulated_k53_l25_104,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,MST_16,MST_17,MST_18,MST_19,MST_20,MST_21,MST_22,MST_23,MST_24,MST_25,MST_26,MST_27,MST_28,MST_29,MST_30,MST_31,MST_32,MST_33,MST_34,MST_35,MST_36,MST_37,MST_38,MST_39,MST_40,MST_41,MST_42,MST_43,MST_44,MST_45,MST_46,MST_47,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12,SEQ_13,SEQ_14,SEQ_15,SEQ_16,SEQ_17,SEQ_18,SEQ_19,SEQ_20,SEQ_21,SEQ_22,SEQ_23,SEQ_24,SEQ_25,SEQ_26,SEQ_27,SEQ_28,SEQ_29,SEQ_30,SEQ_31,SEQ_32,SEQ_33,SEQ_34,SEQ_35,SEQ_36,SEQ_37,SEQ_38,SEQ_39,SEQ_40,SEQ_41,SEQ_42,SEQ_43,SEQ_44,SEQ_45,SEQ_46
,,,,,,,,,,0.0,4.0,17.0,16.0,15.0,13.0,19.0,6.0,8.0,19.0,3.0,16.0,16.0,13.0,15.0,14.0,15.0,14.0,17.0,17.0,15.0,13.0,16.0,16.0,15.0,8.0,7.0,14.0,17.0,13.0,13.0,14.0,14.0,17.0,18.0,12.0,11.0,16.0,16.0,5.0,5.0,15.0,15.0,12.0,19.0,12.0,14.0,16.0,15.0,13.0,14.0,13.0,16.0,13.0,16.0,16.0,17.0,15.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,14.0,13.0,13.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,19.0,12.0,9.0,12.0,14.0,16.0,15.0,13.0,15.0,14.0,16.0,13.0,16.0,16.0,17.0,15.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,14.0,13.0,13.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,12.0
,,,,,,,,,,,0.0,17.0,14.0,15.0,13.0,19.0,8.0,10.0,17.0,7.0,13.0,18.0,13.0,15.0,14.0,17.0,16.0,17.0,17.0,15.0,13.0,18.0,18.0,15.0,10.0,9.0,14.0,17.0,15.0,15.0,14.0,14.0,17.0,18.0,10.0,11.0,16.0,16.0,5.0,5.0,14.0,14.0,12.0,19.0,12.0,14.0,17.0,16.0,14.0,15.0,15.0,18.0,14.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,14.0,13.0,13.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,21.0,13.0,10.0,12.0,14.0,17.0,16.0,14.0,16.0,16.0,18.0,14.0,17.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,14.0,13.0,13.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,13.0
,,,,,,,,,,,,0.0,15.0,13.0,13.0,17.0,17.0,17.0,12.0,14.0,14.0,19.0,16.0,4.0,5.0,12.0,13.0,14.0,14.0,16.0,6.0,14.0,16.0,15.0,13.0,12.0,17.0,20.0,16.0,16.0,15.0,15.0,16.0,17.0,9.0,8.0,13.0,13.0,18.0,18.0,15.0,15.0,11.0,19.0,13.0,13.0,14.0,14.0,16.0,15.0,14.0,13.0,11.0,14.0,12.0,13.0,14.0,13.0,13.0,13.0,15.0,16.0,16.0,15.0,14.0,13.0,12.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,11.0,10.0,13.0,13.0,14.0,15.0,16.0,15.0,15.0,13.0,11.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,15.0,16.0,16.0,16.0,14.0,13.0,12.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,11.0
,,,,,,,,,,,,,0.0,11.0,9.0,12.0,16.0,17.0,11.0,13.0,10.0,7.0,14.0,13.0,12.0,14.0,14.0,11.0,11.0,6.0,9.0,13.0,11.0,12.0,16.0,17.0,7.0,10.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,9.0,14.0,14.0,15.0,15.0,12.0,12.0,10.0,19.0,12.0,14.0,17.0,14.0,14.0,13.0,14.0,14.0,10.0,13.0,13.0,12.0,12.0,10.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,20.0,13.0,11.0,12.0,14.0,17.0,14.0,14.0,14.0,14.0,14.0,10.0,12.0,13.0,12.0,12.0,10.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,17.0,13.0
,,,,,,,,,,,,,,0.0,4.0,9.0,13.0,13.0,11.0,14.0,12.0,12.0,11.0,11.0,10.0,13.0,14.0,11.0,10.0,11.0,12.0,12.0,12.0,13.0,16.0,15.0,8.0,9.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,12.0,14.0,14.0,16.0,16.0,9.0,9.0,11.0,19.0,12.0,13.0,14.0,14.0,16.0,14.0,15.0,14.0,12.0,13.0,13.0,12.0,12.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,19.0,12.0,8.0,12.0,13.0,14.0,16.0,16.0,16.0,13.0,14.0,12.0,12.0,13.0,12.0,12.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,17.0,12.0
,,,,,,,,,,,,,,,0.0,7.0,11.0,15.0,9.0,12.0,8.0,10.0,9.0,11.0,10.0,13.0,13.0,11.0,12.0,7.0,8.0,11.0,12.0,11.0,16.0,15.0,4.0,7.0,8.0,8.0,8.0,8.0,11.0,12.0,9.0,8.0,13.0,13.0,14.0,14.0,7.0,7.0,8.0,16.0,11.0,12.0,13.0,13.0,15.0,13.0,14.0,13.0,11.0,14.0,14.0,14.0,10.0,8.0,10.0,10.0,10.0,10.0,7.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,11.0,9.0,11.0,12.0,13.0,15.0,15.0,15.0,13.0,13.0,11.0,12.0,14.0,14.0,10.0,8.0,10.0,10.0,10.0,10.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,17.0,11.0
,,,,,,,,,,,,,,,,0.0,17.0,18.0,11.0,18.0,11.0,11.0,12.0,16.0,16.0,14.0,14.0,11.0,11.0,12.0,14.0,12.0,12.0,13.0,18.0,18.0,9.0,8.0,11.0,11.0,13.0,13.0,13.0,12.0,15.0,14.0,14.0,14.0,19.0,19.0,10.0,10.0,12.0,18.0,13.0,14.0,16.0,16.0,15.0,13.0,14.0,14.0,11.0,14.0,15.0,14.0,13.0,11.0,12.0,12.0,12.0,13.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0,13.0,12.0,13.0,14.0,16.0,18.0,15.0,15.0,13.0,14.0,11.0,12.0,15.0,14.0,13.0,11.0,12.0,12.0,12.0,13.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0,13.0
,,,,,,,,,,,,,,,,,0.0,6.0,18.0,7.0,15.0,17.0,13.0,16.0,14.0,17.0,16.0,16.0,18.0,16.0,15.0,18.0,18.0,18.0,10.0,9.0,12.0,15.0,15.0,15.0,15.0,15.0,17.0,18.0,14.0,13.0,16.0,16.0,9.0,9.0,13.0,13.0,12.0,19.0,13.0,15.0,15.0,16.0,13.0,15.0,16.0,16.0,15.0,17.0,17.0,18.0,17.0,15.0,16.0,16.0,14.0,14.0,12.0,13.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,13.0,10.0,13.0,15.0,15.0,16.0,13.0,16.0,15.0,16.0,15.0,17.0,17.0,18.0,17.0,15.0,16.0,16.0,14.0,14.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0,13.0
,,,,,,,,,,,,,,,,,,0.0,20.0,9.0,15.0,18.0,13.0,18.0,15.0,17.0,16.0,16.0,18.0,18.0,17.0,17.0,15.0,17.0,12.0,13.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,18.0,16.0,15.0,17.0,17.0,9.0,9.0,13.0,13.0,12.0,20.0,12.0,14.0,14.0,15.0,15.0,15.0,15.0,17.0,15.0,17.0,15.0,16.0,17.0,15.0,16.0,16.0,16.0,16.0,15.0,16.0,12.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,21.0,14.0,10.0,12.0,14.0,14.0,16.0,15.0,15.0,14.0,17.0,15.0,17.0,15.0,16.0,17.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0,12.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,16.0,14.0
,,,,,,,,,,,,,,,,,,,0.0,16.0,10.0,15.0,13.0,12.0,13.0,15.0,15.0,6.0,8.0,12.0,8.0,8.0,10.0,9.0,16.0,16.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,12.0,7.0,8.0,15.0,15.0,18.0,18.0,11.0,11.0,11.0,18.0,14.0,15.0,17.0,14.0,17.0,14.0,14.0,13.0,12.0,15.0,12.0,12.0,11.0,10.0,10.0,10.0,12.0,13.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,14.0,12.0,14.0,15.0,17.0,15.0,17.0,15.0,15.0,13.0,12.0,13.0,12.0,12.0,11.0,10.0,10.0,10.0,12.0,13.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,14.0
